Haringey,Studio,90,976,835,975,"1,100"
Haringey,One Bedroom,300,"1,403","1,250","1,400","1,550"
Haringey,Two Bedrooms,410,"1,738","1,500","1,691","1,900"
Haringey,Three Bedrooms,150,"2,269","1,842","2,130","2,600"
Haringey,Four or More Bedrooms,110,"3,152","2,211","2,935","3,600"
Harrow,Room,20,639,601,621,726
Harrow,Studio,30,861,768,888,975
Harrow,One Bedroom,190,"1,194","1,050","1,175","1,300"
Harrow,Two Bedrooms,450,"1,474","1,313","1,450","1,600"
Harrow,Three Bedrooms,320,"1,842","1,650","1,800","2,000"
Harrow,Four or More Bedrooms,110,"2,487","2,050","2,400","2,771"
Havering,Room,10,621,592,642,674
Havering,Studio,10,795, .. ,800, .. 
Havering,One Bedroom,180,"1,016",925,"1,000","1,100"
Havering,Two Bedrooms,290,"1,277","1,150","1,257","1,400"
Havering,Three Bedrooms,230,"1,528","1,365","1,500","1,650"
Havering,Four or More Bedrooms,50,"2,029","1,750","2,010","2,285"
Hillingdon,Room,20,625,576,625,742
Hillingdon,Studio,50,924,758,899,"1,050"
Hillingdon,One Bedroom,430,"1,096",975,"1,100","1,200"
Hillingdon,Two Bedrooms,700,"1,382","1,250","1,375","1,500"
Hillingdon,Three Bedrooms,430,"1,632","1,413","1,600","1,808"
Hillingdon,Four or More Bedrooms,140,"2,285","1,850","2,100","2,500"
Hounslow,Room,100,700,600,658,800
Hounslow,Studio,110,"1,044",850,"1,000","1,260"
Hounslow,One Bedroom,390,"1,366","1,200","1,350","1,550"
Hounslow,Two Bedrooms,570,"1,667","1,400","1,600","1,838"
Hounslow,Three Bedrooms,240,"2,013","1,650","1,850","2,250"
Hounslow,Four or More Bedrooms,100,"3,038","2,000","2,400","3,500"
Islington,Room,10,738, .. ,777, .. 
Islington,Studio,50,"1,252","1,000","1,150","1,450"
Islington,One Bedroom,460,"1,801","1,500","1,744","2,000"
Islington,Two Bedrooms,430,"2,287","1,880","2,250","2,600"
Islington,Three Bedrooms,150,"2,775","2,200","2,700","3,150"
Islington,Four or More Bedrooms,60,"3,972","3,400","3,800","4,300"
Kensington and Chelsea,Room,40,908,811,867,979
Kensington and Chelsea,Studio,390,"1,568","1,323","1,517","1,700"
Kensington and Chelsea,One Bedroom,920,"2,423","1,885","2,200","2,687"
Kensington and Chelsea,Two Bedrooms,920,"3,237","2,492","2,990","3,600"
Kensington and Chelsea,Three Bedrooms,300,"5,026","3,380","4,377","6,100"
Kensington and Chelsea,Four or More Bedrooms,100,"7,939","5,660","7,732","9,533"
Kingston upon Thames,Room,60,633,642,642,650
Kingston upon Thames,Studio,10,"1,091", .. ,998, .. 
Kingston upon Thames,One Bedroom,110,"1,243","1,125","1,250","1,350"
Kingston upon Thames,Two Bedrooms,230,"1,543","1,325","1,500","1,675"
Kingston upon Thames,Three Bedrooms,120,"2,063","1,672","1,988","2,498"
Kingston upon Thames,Four or More Bedrooms,40,"2,723","2,188","2,775","3,000"
Lambeth,Room, - , .. , .. , .. , .. 
Lambeth,Studio,80,"1,072",835,950,"1,310"
Lambeth,One Bedroom,380,"1,627","1,390","1,550","1,800"
Lambeth,Two Bedrooms,580,"1,966","1,586","1,868","2,300"
Lambeth,Three Bedrooms,210,"2,569","1,950","2,500","3,005"
Lambeth,Four or More Bedrooms,80,"3,631","2,750","3,400","4,200"
Lewisham,Room,80,676,595,676,751
Lewisham,Studio,80,"1,040",913,"1,000","1,150"
Lewisham,One Bedroom,520,"1,270","1,134","1,250","1,400"
Lewisham,Two Bedrooms,720,"1,532","1,330","1,500","1,700"
Lewisham,Three Bedrooms,280,"1,911","1,613","1,850","2,100"
Lewisham,Four or More Bedrooms,100,"2,546","2,100","2,400","2,838"
Merton,Room,40,701,592,692,817
Merton,Studio,10,966,900,"1,050","1,055"
Merton,One Bedroom,110,"1,366","1,200","1,325","1,550"
Merton,Two Bedrooms,270,"1,673","1,275","1,550","1,900"
Merton,Three Bedrooms,140,"2,228","1,800","2,100","2,600"
Merton,Four or More Bedrooms,50,"3,178","2,400","2,850","4,250"
Newham,Room,50,688,606,722,818
Newham,Studio,30,"1,152",925,"1,100","1,350"
Newham,One Bedroom,650,"1,399","1,200","1,418","1,600"
Newham,Two Bedrooms,790,"1,691","1,400","1,685","1,923"
Newham,Three Bedrooms,400,"1,957","1,650","1,872","2,275"
Newham,Four or More Bedrooms,100,"2,199","1,913","2,100","2,400"
Redbridge,Room,40,710,633,681,789
Redbridge,Studio,40,879,800,850,950
Redbridge,One Bedroom,340,"1,139","1,000","1,125","1,250"
Redbridge,Two Bedrooms,530,"1,429","1,300","1,400","1,550"
Redbridge,Three Bedrooms,320,"1,747","1,550","1,750","1,895"
Redbridge,Four or More Bedrooms,120,"2,251","1,900","2,200","2,500"
Richmond upon Thames,Room, - , .. , .. , .. , .. 
Richmond upon Thames,Studio,30,982,867,"1,040","1,090"
Richmond upon Thames,One Bedroom,180,"1,315","1,195","1,275","1,450"
Richmond upon Thames,Two Bedrooms,340,"1,772","1,500","1,675","2,000"
Richmond upon Thames,Three Bedrooms,160,"2,255","1,725","2,100","2,500"
Richmond upon Thames,Four or More Bedrooms,70,"3,828","2,700","3,500","4,300"
Southwark,Room,30,802,671,776,926
Southwark,Studio,40,"1,210","1,058","1,150","1,275"
Southwark,One Bedroom,860,"1,564","1,300","1,500","1,750"
Southwark,Two Bedrooms,"1,020","2,031","1,600","1,900","2,300"
Southwark,Three Bedrooms,340,"2,450","2,000","2,400","2,720"
Southwark,Four or More Bedrooms,170,"3,508","3,000","3,500","3,850"
Sutton,Room, - , .. , .. , .. , .. 
Sutton,Studio,60,895,725,800,850
Sutton,One Bedroom,310,"1,009",900,975,"1,150"
Sutton,Two Bedrooms,450,"1,307","1,150","1,275","1,450"
Sutton,Three Bedrooms,150,"1,729","1,500","1,675","2,000"
Sutton,Four or More Bedrooms,50,"2,435","2,095","2,400","2,700"
Tower Hamlets,Room,30,821,686,830,936
Tower Hamlets,Studio,80,"1,654","1,300","1,550","1,788"
Tower Hamlets,One Bedroom,500,"1,764","1,450","1,650","1,906"
Tower Hamlets,Two Bedrooms,580,"2,186","1,750","2,000","2,425"
Tower Hamlets,Three Bedrooms,180,"2,511","2,050","2,400","2,800"
Tower Hamlets,Four or More Bedrooms,50,"3,355","2,886","3,300","3,748"
Waltham Forest,Room,30,583,526,559,599
Waltham Forest,Studio,40,979,875,988,"1,075"
Waltham Forest,One Bedroom,370,"1,218","1,100","1,200","1,350"
Waltham Forest,Two Bedrooms,550,"1,488","1,330","1,500","1,650"
Waltham Forest,Three Bedrooms,270,"1,812","1,600","1,750","2,000"
Waltham Forest,Four or More Bedrooms,70,"2,241","2,000","2,225","2,550"
Wandsworth,Room,50,742,670,750,835
Wandsworth,Studio,50,"1,141","1,000","1,113","1,250"
Wandsworth,One Bedroom,590,"1,613","1,400","1,575","1,701"
Wandsworth,Two Bedrooms,890,"2,033","1,700","1,913","2,300"
Wandsworth,Three Bedrooms,400,"2,541","2,145","2,500","2,900"
Wandsworth,Four or More Bedrooms,240,"3,586","2,800","3,500","4,117"
Westminster,Room,30,931,842,917,979
Westminster,Studio,180,"1,515","1,257","1,430","1,712"
Westminster,One Bedroom,650,"2,386","1,890","2,275","2,708"
Westminster,Two Bedrooms,650,"3,343","2,492","3,002","3,791"
Westminster,Three Bedrooms,230,"4,912","3,315","4,225","5,547"
Westminster,Four or More Bedrooms,50,"9,324","4,500","6,600","15,383"
