Private Rental Market Statistics ,,,,,,
Table 1.2: Summary of monthly rents recorded between January 2022 and December 2022 by borough and bedroom category for London,,,,,,
,,,,,,
,,,,,,
"These statistics are not comparable with the Office for National Statistics’ Official Statistics releases on the private rental market. Both use the Valuation Office Agency's data collected by Rent Officers from landlords and letting agents, however, the sample and methodology used to produce the figures is not the same.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Table notes and footnotes,,,Back to contents,,,
Bromley,Studio,40,826,750,800,900
Bromley,One Bedroom,770,"1,072",970,"1,050","1,170"
Bromley,Two Bedrooms,"1,060","1,364","1,213","1,350","1,500"
Bromley,Three Bedrooms,450,"1,734","1,500","1,695","1,900"
Bromley,Four or More Bedrooms,190,"2,639","2,000","2,374","2,800"
Camden,Room,-,..,..,..,..
Camden,Studio,220,"1,164",925,"1,085","1,408"
Camden,One Bedroom,520,"1,702","1,350","1,600","1,850"
Camden,Two Bedrooms,580,"2,367","1,785","2,150","2,600"
Camden,Three Bedrooms,230,"3,035","2,300","2,800","3,450"
Camden,Four or More Bedrooms,90,"3,998","2,800","3,651","4,721"
City of London,Room,0,.,.,.,.
City of London,Studio,30,"1,593","1,300","1,528","1,820"
City of London,One Bedroom,50,"1,780","1,582","1,712","1,900"
City of London,Two Bedrooms,10,"2,414","2,250","2,383","2,600"
City of London,Three Bedrooms,-,..,..,..,..
City of London,Four or More Bedrooms,0,.,.,.,.
Croydon,Room,30,575,468,537,676
Croydon,Studio,70,862,785,878,920
Croydon,One Bedroom,460,"1,002",915,975,"1,100"
Croydon,Two Bedrooms,650,"1,276","1,155","1,250","1,400"
Croydon,Three Bedrooms,260,"1,535","1,350","1,500","1,700"
Croydon,Four or More Bedrooms,110,"2,151","1,800","2,000","2,500"
Ealing,Room,50,655,592,642,700
Ealing,Studio,130,936,850,934,"1,000"
Ealing,One Bedroom,650,"1,262","1,150","1,250","1,350"
Ealing,Two Bedrooms,940,"1,559","1,400","1,503","1,675"
Ealing,Three Bedrooms,350,"1,938","1,625","1,850","2,150"
Ealing,Four or More Bedrooms,200,"2,750","2,161","2,500","3,000"
Enfield,Room,10,576,492,592,692
Enfield,Studio,40,848,800,850,900
Enfield,One Bedroom,210,"1,089","1,000","1,067","1,200"
Enfield,Two Bedrooms,400,"1,360","1,250","1,350","1,450"
Enfield,Three Bedrooms,220,"1,674","1,500","1,650","1,800"
Enfield,Four or More Bedrooms,70,"2,263","1,850","2,050","2,300"
Greenwich,Room,30,584,535,581,646
Greenwich,Studio,40,962,800,913,"1,100"
Greenwich,One Bedroom,440,"1,229","1,000","1,200","1,400"
Greenwich,Two Bedrooms,790,"1,475","1,250","1,400","1,700"
Greenwich,Three Bedrooms,380,"1,790","1,500","1,700","2,000"
Greenwich,Four or More Bedrooms,110,"2,267","1,700","2,000","2,550"
Hackney,Room,-,..,..,..,..
Hackney,Studio,50,"1,105",950,"1,050","1,250"
Hackney,One Bedroom,370,"1,554","1,300","1,483","1,735"
Hackney,Two Bedrooms,460,"1,885","1,550","1,795","2,100"
Hackney,Three Bedrooms,200,"2,403","2,000","2,400","2,704"
Hackney,Four or More Bedrooms,70,"3,179","2,800","3,050","3,450"
Hammersmith and Fulham,Room,-,..,..,..,..
Hammersmith and Fulham,Studio,100,"1,034",867,997,"1,150"
Hammersmith and Fulham,One Bedroom,500,"1,511","1,300","1,450","1,690"
Hammersmith and Fulham,Two Bedrooms,550,"2,083","1,608","1,950","2,492"
Hammersmith and Fulham,Three Bedrooms,170,"2,858","2,250","2,600","3,250"
Hammersmith and Fulham,Four or More Bedrooms,150,"4,689","3,467","4,238","5,500"
Haringey,Room,100,667,592,667,737
Haringey,Studio,90,942,850,925,"1,000"
Haringey,One Bedroom,450,"1,330","1,200","1,300","1,441"
Haringey,Two Bedrooms,590,"1,642","1,450","1,580","1,785"
Haringey,Three Bedrooms,200,"2,007","1,678","1,850","2,200"
Haringey,Four or More Bedrooms,170,"2,739","2,000","2,450","3,200"
Harrow,Room,10,570,500,538,600
Harrow,Studio,40,789,700,750,938
Harrow,One Bedroom,370,"1,116","1,000","1,100","1,200"
Harrow,Two Bedrooms,750,"1,378","1,250","1,350","1,450"
Harrow,Three Bedrooms,520,"1,731","1,575","1,700","1,850"
Harrow,Four or More Bedrooms,170,"2,232","1,854","2,150","2,450"
Havering,Room,10,"1,274",542,592,"2,199"
Havering,Studio,20,755,650,785,840
Havering,One Bedroom,170,948,875,950,"1,000"
Havering,Two Bedrooms,270,"1,221","1,100","1,225","1,300"
Havering,Three Bedrooms,260,"1,457","1,333","1,450","1,550"
Havering,Four or More Bedrooms,50,"1,879","1,635","1,800","2,100"
Hillingdon,Room,170,558,492,542,625
Hillingdon,Studio,100,778,695,730,800
Hillingdon,One Bedroom,710,"1,003",920,"1,000","1,100"
Hillingdon,Two Bedrooms,"1,090","1,301","1,200","1,295","1,400"
Hillingdon,Three Bedrooms,670,"1,502","1,322","1,500","1,650"
Hillingdon,Four or More Bedrooms,230,"2,052","1,698","1,950","2,273"
Hounslow,Room,50,564,500,563,622
Hounslow,Studio,80,843,700,800,950
Hounslow,One Bedroom,510,"1,229","1,000","1,200","1,400"
Hounslow,Two Bedrooms,710,"1,495","1,277","1,400","1,675"
Hounslow,Three Bedrooms,350,"1,758","1,500","1,650","1,850"
Hounslow,Four or More Bedrooms,110,"2,618","1,750","2,079","3,000"
Islington,Room,30,660,592,685,729
Islington,Studio,70,"1,123",900,"1,094","1,200"
Islington,One Bedroom,540,"1,561","1,355","1,500","1,679"
Islington,Two Bedrooms,420,"2,012","1,603","1,900","2,281"
Islington,Three Bedrooms,210,"2,467","1,907","2,304","2,800"
Islington,Four or More Bedrooms,80,"3,294","2,817","3,200","3,900"
Kensington and Chelsea,Room,30,872,765,842,982
Kensington and Chelsea,Studio,330,"1,516","1,300","1,517","1,668"
Kensington and Chelsea,One Bedroom,990,"2,168","1,729","2,015","2,448"
Kensington and Chelsea,Two Bedrooms,"1,050","3,033","2,340","2,817","3,467"
Kensington and Chelsea,Three Bedrooms,330,"4,569","3,229","4,117","5,491"
Kensington and Chelsea,Four or More Bedrooms,110,"7,664","5,200","6,717","8,017"
Kingston upon Thames,Room,60,510,492,492,550
Kingston upon Thames,Studio,10,886,825,875,900
Kingston upon Thames,One Bedroom,210,"1,120","1,025","1,100","1,225"
Kingston upon Thames,Two Bedrooms,340,"1,440","1,275","1,400","1,600"
Kingston upon Thames,Three Bedrooms,130,"1,901","1,575","1,841","2,150"
Kingston upon Thames,Four or More Bedrooms,60,"2,510","2,050","2,450","2,800"
Lambeth,Room,30,661,550,650,707
Lambeth,Studio,90,"1,009",828,950,"1,200"
Lambeth,One Bedroom,570,"1,476","1,260","1,430","1,646"
Lambeth,Two Bedrooms,800,"1,806","1,500","1,733","2,015"
Lambeth,Three Bedrooms,280,"2,306","1,810","2,300","2,650"
Lambeth,Four or More Bedrooms,120,"3,210","2,600","3,150","3,650"
Lewisham,Room,70,680,592,672,767
Lewisham,Studio,80,950,863,950,"1,038"
Lewisham,One Bedroom,550,"1,166","1,040","1,150","1,295"
Lewisham,Two Bedrooms,730,"1,456","1,300","1,400","1,600"
Lewisham,Three Bedrooms,270,"1,801","1,575","1,750","2,000"
Lewisham,Four or More Bedrooms,100,"2,358","1,938","2,300","2,600"
Merton,Room,10,519,475,475,607
Merton,Studio,20,952,850,900,"1,050"
Merton,One Bedroom,230,"1,286","1,150","1,275","1,400"
Merton,Two Bedrooms,460,"1,602","1,350","1,500","1,800"
Merton,Three Bedrooms,210,"2,238","1,700","2,000","2,650"
Merton,Four or More Bedrooms,100,"3,153","2,500","2,850","3,750"
Newham,Room,60,613,517,628,715
Newham,Studio,70,"1,163",990,"1,214","1,325"
Newham,One Bedroom,"1,090","1,311","1,195","1,300","1,442"
Newham,Two Bedrooms,"1,180","1,594","1,400","1,575","1,750"
Newham,Three Bedrooms,460,"1,834","1,600","1,750","2,000"
Newham,Four or More Bedrooms,110,"2,075","1,800","2,000","2,250"
Redbridge,Room,40,795,592,633,692
Redbridge,Studio,40,815,738,810,895
Redbridge,One Bedroom,410,"1,108",951,"1,070","1,175"
Redbridge,Two Bedrooms,620,"1,340","1,250","1,300","1,425"
Redbridge,Three Bedrooms,360,"1,639","1,500","1,640","1,750"
Redbridge,Four or More Bedrooms,130,"2,110","1,800","2,000","2,300"
Richmond upon Thames,Room,10,730,650,700,817
Richmond upon Thames,Studio,50,"1,004",895,998,"1,100"
Richmond upon Thames,One Bedroom,440,"1,274","1,110","1,250","1,400"
Richmond upon Thames,Two Bedrooms,690,"1,732","1,458","1,650","1,878"
Richmond upon Thames,Three Bedrooms,280,"2,427","1,850","2,250","2,850"
Richmond upon Thames,Four or More Bedrooms,130,"3,820","2,702","3,500","4,505"
Southwark,Room,10,738,692,700,800
Southwark,Studio,70,"1,177","1,050","1,150","1,300"
Southwark,One Bedroom,960,"1,478","1,250","1,425","1,695"
Southwark,Two Bedrooms,"1,260","1,881","1,550","1,800","2,150"
Southwark,Three Bedrooms,410,"2,324","2,000","2,250","2,600"
Southwark,Four or More Bedrooms,180,"3,257","2,695","3,175","3,645"
Sutton,Room,-,..,..,..,..
Sutton,Studio,70,775,725,775,825
Sutton,One Bedroom,410,975,895,950,"1,050"
Sutton,Two Bedrooms,530,"1,233","1,115","1,200","1,350"
Sutton,Three Bedrooms,170,"1,618","1,450","1,595","1,750"
Sutton,Four or More Bedrooms,40,"2,187","1,895","2,200","2,500"
Tower Hamlets,Room,30,690,592,692,742
Tower Hamlets,Studio,80,"1,351","1,150","1,343","1,495"
Tower Hamlets,One Bedroom,500,"1,533","1,300","1,500","1,700"
Tower Hamlets,Two Bedrooms,580,"1,864","1,600","1,750","2,000"
Tower Hamlets,Three Bedrooms,200,"2,252","1,896","2,100","2,600"
Tower Hamlets,Four or More Bedrooms,40,"2,914","2,600","3,000","3,224"
Waltham Forest,Room,30,536,457,492,567
Waltham Forest,Studio,30,816,675,850,925
Waltham Forest,One Bedroom,480,"1,156","1,050","1,150","1,250"
Waltham Forest,Two Bedrooms,670,"1,411","1,295","1,400","1,550"
Waltham Forest,Three Bedrooms,320,"1,693","1,500","1,695","1,850"
Waltham Forest,Four or More Bedrooms,90,"2,037","1,800","2,003","2,300"
Wandsworth,Room,40,688,630,700,774
Wandsworth,Studio,50,"1,078","1,000","1,050","1,125"
Wandsworth,One Bedroom,560,"1,523","1,350","1,500","1,677"
Wandsworth,Two Bedrooms,970,"1,940","1,600","1,869","2,200"
Wandsworth,Three Bedrooms,360,"2,507","2,000","2,450","2,900"
Wandsworth,Four or More Bedrooms,220,"3,368","2,693","3,290","3,913"
Westminster,Room,60,848,726,850,938
Westminster,Studio,90,"1,362","1,170","1,304","1,517"
Westminster,One Bedroom,430,"2,151","1,725","2,097","2,492"
Westminster,Two Bedrooms,380,"2,967","2,328","2,770","3,400"
Westminster,Three Bedrooms,130,"4,269","3,016","3,770","4,983"
Westminster,Four or More Bedrooms,30,"7,472","4,312","5,867","8,233"
Source: VOA’s administrative database as at December 2022,,,,,,
,,,,,,
Table notes,,,,,,
All averages and measures are expressed in £ values and rounded to the nearest £1.,,,,,,
Counts are rounded to the nearest 10.,,,,,,
Statistics derived from fewer than five observations have been suppressed and denoted by '-'.,,,,,,
Values denoted by '.'  are not applicable.,,,,,,
Values denoted by '..' are not available.,,,,,,
,,,,,,
Please note,,,,,,
The sample used to produce these statistics is not statistical and may not be consistent over time as such these data should not be compared across time periods or between areas.,,,,,,
,,,,,,
,,,,,,
Housing Benefit claimants are not included in the sample.,,,,,,
,,,,,,
"Room - non self-contained single room with shared facilities. Includes bedsits, single rooms in a house or flat shared with other tenants, and single rooms rented from a resident landlord.",,,,,,
,,,,,,
Studio - self-contained single roomed property with own kitchen and bath/shower/WC facilities.,,,,,,
,,,,,,
"One Bedroom - self-contained properties with one bedroom including houses, bungalows, flats and maisonettes.",,,,,,
,,,,,,
"Two Bedrooms - self-contained properties with two bedrooms including houses, bungalows, flats and maisonettes.",,,,,,
,,,,,,
"Three Bedrooms - self-contained properties with three bedrooms including houses, bungalows, flats and maisonettes.",,,,,,
,,,,,,
"Four or more Bedrooms - self-contained properties with four or more bedrooms including houses, bungalows, flats and maisonettes.",,,,,,
,,,,,,
Mean - a measure of central tendency often referred to as the average. Given a series of values the arithmetic mean is calculated by summing all these values together and dividing by the count of these values.,,,,,,
,,,,,,
,,,,,,
Median - when a series of numbers are arranged by order of magnitude the median represents the middle value. Where there is an even number of values the median is the mean of the two values closest to value in the centre of that distribution.,,,,,,
,,,,,,
,,,,,,
Lower quartile - when a series of values are arranged by size the lower quartile (or 25th percentile) is the value that splits the lowest 25 per cent of the data from the highest 75 per cent.,,,,,,
,,,,,,
Upper quartile - when a series of values are arranged by size the upper quartile (or 75th percentile) is the value that splits the highest 25 per cent of the data from the lowest 75 per cent.,,,,,,
,,,,,,
,,,,,,
Back to Top,,,,,,
